id,position,country,country_abbr,city,name,capacity,lat,lon,country,date,time
1,home,United Kingdom,UK,London,Wembley Stadium,90000,51.5560247,-0.2818064,IT,Sunday,22:00
2,away,United Kingdom,UK,London,Wembley Stadium,90000,51.5560247,-0.2818064,EN,Sunday,22:00
